"indicator","ISO Country code","GDP ($ USD billions PPP) 2018","GDP ($ USD billions PPP) 2019","GDP ($ USD billions PPP) 2020","GDP ($ USD billions PPP) 2021","GDP per capita in $ (PPP) 2018","GDP per capita in $ (PPP) 2019","GDP per capita in $ (PPP) 2020","GDP per capita in $ (PPP) 2021","health expenditure % of GDP 2014","health expenditure % of GDP 2015","health expenditure % of GDP 2016","health expenditure % of GDP 2017","health expenditure % of GDP 2018","health expenditure % of GDP 2019","health expenditure % of GDP 2020","health expenditure % of GDP 2021","health expenditure % of GDP 2021 or latest","health expenditure per person 2015","health expenditure per person 2018","health expenditure per person 2019","unemployment (%) 2018","unemployment (%) 2021","Military Spending as % of GDP 2021","Military Spending as % of GDP 2019"
"Tanzania","TZA","141.60","149.80","152.80","159.30","2,652","2,773","2,780","2,933","3.38","4.19","4.10","4.43","3.70","3.60","3.23","3.30","3.30","96","42","40.30","2.60","2.65","1.07%","1.30%"
"Thailand","THA","1,256.8","1,283.8","1,204.3","1,223.1","18,534","19,217","18,198","19,209","3.72","3.76","3.64","3.36","3.06","2.97","0","0","2.97","610","278.60","296.20","0.60","1.42","1.32%","1.30%"
"Timor-Leste","TLS","3.90","4.70","5.20","5.40","3,168","3,780","4,141","4,418","7.52","8.45","8.08","7.03","6.73","0","0","0","0","141","93.60","92.70","4","5.07","1.14%","1.00%"
"Togo","TGO","16.30","17.10","17.50","18.40","2,111","2,211","2,223","2,380","4.78","5.11","3.69","3.76","4.04","4.07","3.99","0","3.99","96","54.90","51.20","6.80","4","1.78%","3.10%"
"Trinidad and Tobago","TTO","37.50","37.40","34.70","34.30","27,617","27,960","26,125","26,868","5.33","3.39","3.95","3.58","3.30","3.70","4.10","0","4.10","2,204","1,143.2","1,167.9","3.90","4.80","0.89%","0.70%"
"Tunisia","TUN","131.80","133.60","121.90","126","11,670","11,903","10,879","11,595","6.88","6.22","7.32","0","0","0","0","0","0","774","236.70","233.10","14.80","16.82","2.83%","2.60%"
"Turkiye","TUR","2,331.7","2,352.5","2,394.7","2,657.8","27,961","26,867","27,235","30,472","0","0","0","0","4.29","0","0","0","0","996","389.90","396.50","10.30","13.39","2.06%","2.70%"
"Turkmenistan","TKM","86.90","92.30","0","0","15,200","16,194","16,500","17,000","0","0","0","0","0","3.12","0","0","3.12","1,004","460.30","500","8.60","5.08","0.00%","0.00%"
"Uganda","UGA","90.80","96.60","99.50","102.90","2,176","2,275","2,294","2,398","1.91","2.32","2.14","2.25","2.13","1.53","2.59","2.67","2.67","139","32.10","32.40","2.30","2.94","2.42%","2.10%"
"Ukraine","UKR","521.50","538.20","518","535.60","12,632","13,345","13,087","14,220","5.87","5.74","5.01","5.42","5.32","5.44","0","0","5.44","469","222.50","248.10","8.90","8.88","3.23%","3.40%"
"United Arab Emirates","ARE","645","667","626.10","0","68,568","71,145","66,766","67,000","0","0","0","0","0","3.87","3.88","0","3.88","2,426","1,817.3","1,842.7","3.70","3.36","0.00%","5.60%"
"United Kingdom","GBR","3,113.9","3,165.9","2,872.4","3,086.2","47,573","49,041","46,527","49,675","5.56","5.51","5.38","5.38","5.17","0","0","0","0","4,145","4,270.2","4,312.9","4.80","4.53","2.22%","1.70%"
"United States","USA","20,048.2","20,507.1","19,808.9","20,932.3","62,805","65,095","63,028","69,288","0","4.95","4.80","5.11","4.91","0","0","0","0","9,536","10,515.3","10,921.0","4.90","5.46","3.48%","3.40%"
"Uruguay","URY","79.50","79.70","74.90","78.10","23,585","24,005","22,728","24,625","4.58","4.55","4.38","4.47","4.66","4.70","0","0","4.70","1,748","1,686.1","1,661.0","8.20","10.45","2.26%","2.00%"
"Uzbekistan","UZB","233.40","246.80","251.40","270.10","7,252","7,658","7,746","8,497","5.71","5.49","5.38","5.03","5.90","7","4.92","0","4.92","383","82.30","98.60","8.90","7.16","0.00%","3.60%"
"Venezuela","VEN","0","0","0","0","0","0","0","0","0","1.93","1.19","1.34","1.36","1.29","1.25","1.30","0","579","464","338.80","6.90","6.41","0.00%","0.50%"
"Vietnam","VNM","912.30","977.60","1,006.3","1,032.4","9,777","10,562","10,904","11,553","4.59","4.47","4.34","4.09","4.17","4.06","0","0","4.06","334","163.20","180.70","2.20","2.17","0.00%","2.00%"
"Yemen","YEM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","144","0","0","17.10","13.57","0.00%","4.00%"
"Zambia","ZMB","61.10","62","60.30","62.40","3,606","3,617","3,457","3,624","5.20","4.62","3.75","3.73","4.74","4.47","3.70","0","3.70","203","76.30","69.30","7.50","13.03","1.30%","1.20%"
"Zimbabwe","ZWE","36.10","33.80","31.70","33.60","2,557","2,408","2,251","2,444","6.14","5.81","5.47","5.82","3.87","0","0","0","3.87","182","141.40","103","5.10","5.17","0.01%","0.70%"
